Time,Ideal Lower,Ideal Upper,Ideal Lower Exterior,Ideal Lower Interior,Ideal Upper Exterior,Ideal Upper Interior
80,3.85,4.21,1.2412,1.1989,1.2272,1.1858
100,3.85,4.21,1.2412,1.1989,1.2272,1.1858
