Radius,Temp
0.06,440.05
0.0595,439.05
0.059,438.04
0.0585,437.02
0.058,435.99
0.0575,434.95
0.057,433.91
0.0565,432.85
0.056,431.79
0.0555,430.71
0.055,429.63
0.0545,428.53
0.054,427.43
0.0535,426.31
0.053,425.19
0.0525,424.05
0.052,422.91
0.0515,421.75
0.051,420.58
0.0505,419.4
0.05,418.21
0.0495,417
0.049,415.78
0.0485,414.56
0.048,413.31
0.0475,412.06
0.047,410.79
0.0465,409.51
0.046,408.21
0.0455,406.9
0.045,405.58
0.0445,404.24
0.044,402.89
0.0435,401.52
0.043,400.13
0.0425,398.73
0.042,397.31
0.0415,395.88
0.041,394.42
0.0405,392.95
0.04,391.46
0.0395,391.46
0.039,391.45
0.0385,391.45
0.038,391.44
0.0375,391.43
0.037,391.43
0.0365,391.42
0.036,391.41
0.0355,391.41
0.035,391.4
0.0345,391.39
0.034,391.39
0.0335,391.38
0.033,391.37
0.0325,391.37
0.032,391.36
0.0315,391.35
0.031,391.34
0.0305,391.33
0.03,391.33
0.0295,389.31
0.029,387.26
0.0285,385.18
0.028,383.06
0.0275,380.9
0.027,378.7
0.0265,376.46
0.026,374.18
0.0255,371.85
0.025,369.48
0.0245,367.06
0.024,364.59
0.0235,362.06
0.023,359.49
0.0225,356.85
0.022,354.16
0.0215,351.4
0.021,348.58
0.0205,345.7
0.02,342.74
0.0195,339.7
0.019,336.59
0.0185,333.39
0.018,330.11
0.0175,326.74
0.017,323.26
0.0165,319.68
0.016,316
0.0155,312.19
0.015,308.26
0.0145,304.2
0.014,299.99
0.0135,295.64
0.013,291.11
0.0125,286.41
0.012,281.52
0.0115,276.42
0.011,271.09
0.0105,265.52
0.01,259.67
