Time,CH4,O2,CO2,H2O
0.000000,0.220066,0.055164,0.000000,0.000000
0.100000,0.098883,0.024787,0.083335,0.068226
0.200000,0.044432,0.011137,0.120779,0.098882
0.300000,0.019965,0.005004,0.137604,0.112656
0.400000,0.008972,0.002249,0.145164,0.118846
0.500000,0.004032,0.001010,0.148561,0.121627
0.600000,0.001813,0.000454,0.150087,0.122876
0.700000,0.000815,0.000204,0.150773,0.123438
0.800000,0.000367,0.000092,0.151081,0.123690
0.900000,0.000166,0.000041,0.151220,0.123804
1.000000,0.000075,0.000019,0.151282,0.123854
1.100000,0.000035,0.000008,0.151310,0.123877
1.200000,0.000016,0.000004,0.151322,0.123888
1.300000,0.000008,0.000002,0.151328,0.123892
1.400000,0.000004,0.000001,0.151331,0.123894
1.500000,0.000003,0.000000,0.151332,0.123895
1.600000,0.000002,0.000000,0.151332,0.123896
1.700000,0.000002,0.000000,0.151333,0.123896
1.800000,0.000002,0.000000,0.151333,0.123896
1.900000,0.000002,0.000000,0.151333,0.123896
2.000000,0.000001,0.000000,0.151333,0.123896
