x/h U strm,U strm,x/h urms strm,urms strm,y/h U prof,U prof,y/h urms prof,urms prof
0.488,-0.004,0.486,0.003,0.999,6.22E-04,0.999,6.72E-05
0.546,-0.025,0.486,0.027,1.027,0.088,1.004,0.201
0.616,-0.031,0.51,0.062,1.05,0.172,1.022,0.34
0.675,-0.052,0.545,0.088,1.06,0.26,1.032,0.463
0.711,-0.082,0.592,0.117,1.076,0.337,1.042,0.528
0.793,-0.118,0.627,0.136,1.086,0.439,1.052,0.571
0.91,-0.151,0.65,0.15,1.096,0.53,1.061,0.617
0.946,-0.183,0.697,0.162,1.115,0.656,1.069,0.65
0.981,-0.196,0.732,0.176,1.133,0.81,1.079,0.681
1.029,-0.23,0.756,0.192,1.153,0.95,1.086,0.708
1.064,-0.247,0.767,0.201,1.171,1.073,1.099,0.737
1.099,-0.267,0.896,0.193,1.194,1.22,1.121,0.771
1.146,-0.281,0.931,0.2,1.22,1.406,1.126,0.784
1.146,-0.293,0.978,0.211,1.241,1.553,1.136,0.794
1.182,-0.302,1.071,0.212,1.259,1.634,1.143,0.8
1.217,-0.322,1.188,0.209,1.274,1.697,1.151,0.803
1.322,-0.345,1.235,0.216,1.295,1.749,1.163,0.8
1.38,-0.338,1.27,0.224,1.321,1.812,1.171,0.793
1.45,-0.356,1.328,0.233,1.346,1.851,1.175,0.783
1.451,-0.388,1.387,0.228,1.369,1.879,1.178,0.772
1.487,-0.414,1.422,0.237,1.4,1.9,1.188,0.76
1.534,-0.446,1.48,0.238,1.429,1.91,1.195,0.752
1.569,-0.46,1.574,0.237,1.462,1.907,1.203,0.738
1.604,-0.467,1.621,0.242,1.506,1.9,1.21,0.723
1.64,-0.483,1.702,0.247,1.57,1.889,1.218,0.708
1.686,-0.491,1.738,0.249,1.632,1.886,1.225,0.691
1.768,-0.491,1.866,0.241,1.691,1.875,1.232,0.673
1.837,-0.496,1.913,0.246,1.775,1.865,1.237,0.658
1.93,-0.499,1.983,0.244,1.858,1.861,1.247,0.641
2,-0.499,2.065,0.238,1.96,1.861,1.26,0.62
2.011,-0.483,2.17,0.24,2.03,1.84,1.27,0.602
2.08,-0.46,2.17,0.248,2.086,1.816,1.282,0.578
2.162,-0.476,2.263,0.255,2.14,1.794,1.287,0.561
2.266,-0.464,2.392,0.257,2.207,1.766,1.302,0.533
2.382,-0.45,2.485,0.26,2.258,1.752,1.309,0.515
2.498,-0.45,2.567,0.252,2.297,1.749,1.317,0.501
2.567,-0.439,2.614,0.251,2.338,1.742,1.324,0.482
2.683,-0.418,2.707,0.259,2.374,1.731,1.334,0.466
2.729,-0.403,2.836,0.273,2.402,1.717,1.341,0.447
2.81,-0.395,2.918,0.279,2.433,1.707,1.351,0.427
2.925,-0.38,3,0.268,2.464,1.696,1.359,0.413
2.948,-0.366,3.07,0.274,2.484,1.693,1.371,0.4
2.982,-0.32,3.105,0.261,2.525,1.679,1.386,0.379
3.016,-0.304,3.14,0.261,2.564,1.668,1.401,0.364
3.074,-0.307,3.245,0.268,2.595,1.665,1.418,0.347
3.248,-0.281,3.292,0.275,2.638,1.654,1.445,0.33
3.293,-0.258,3.339,0.287,2.692,1.63,1.473,0.317
3.374,-0.231,3.409,0.3,2.726,1.619,1.497,0.312
3.5,-0.196,3.456,0.312,2.744,1.605,1.517,0.3
3.581,-0.164,3.526,0.319,2.759,1.595,1.542,0.289
3.661,-0.137,3.619,0.329,2.767,1.577,1.567,0.273
3.765,-0.116,3.666,0.335,2.775,1.563,1.592,0.258
3.892,-0.08,3.806,0.331,,,1.631,0.25
3.995,-0.048,3.888,0.328,,,1.659,0.247
4.099,-0.018,3.935,0.321,,,1.698,0.237
4.26,0.023,3.97,0.325,,,1.743,0.242
4.41,0.071,4.017,0.331,,,1.775,0.241
4.56,0.103,4.087,0.335,,,1.805,0.237
4.652,0.13,4.122,0.331,,,1.834,0.235
4.778,0.172,4.145,0.323,,,1.862,0.228
4.894,0.202,4.192,0.32,,,1.886,0.221
5.067,0.242,4.239,0.325,,,1.911,0.213
5.205,0.263,4.239,0.334,,,1.924,0.21
5.238,0.32,4.274,0.34,,,1.956,0.204
5.354,0.343,4.332,0.344,,,1.986,0.204
5.458,0.348,4.437,0.351,,,2.018,0.204
5.515,0.375,4.496,0.347,,,2.035,0.199
5.585,0.389,4.542,0.343,,,2.06,0.196
5.619,0.401,4.624,0.337,,,2.085,0.191
5.677,0.423,4.741,0.335,,,2.119,0.196
5.757,0.439,4.811,0.335,,,2.166,0.192
5.861,0.453,4.87,0.336,,,2.209,0.188
5.977,0.467,4.951,0.342,,,2.251,0.184
6.058,0.481,5.01,0.349,,,2.288,0.183
6.127,0.499,5.103,0.352,,,2.323,0.179
6.208,0.517,5.15,0.348,,,2.35,0.183
6.347,0.535,5.185,0.343,,,2.375,0.188
6.462,0.545,5.173,0.337,,,2.407,0.197
6.497,0.551,5.197,0.333,,,2.434,0.196
6.614,0.542,5.22,0.326,,,2.461,0.195
6.694,0.556,5.314,0.33,,,2.503,0.196
6.799,0.567,5.454,0.322,,,2.531,0.191
6.961,0.569,5.559,0.327,,,2.548,0.188
7.077,0.569,5.699,0.321,,,2.58,0.189
7.181,0.576,5.781,0.326,,,2.62,0.191
7.391,0.563,5.793,0.334,,,2.672,0.188
7.46,0.572,5.828,0.335,,,2.689,0.184
7.53,0.561,5.91,0.334,,,2.726,0.182
7.589,0.537,5.98,0.335,,,2.756,0.189
7.647,0.546,6.003,0.337,,,2.781,0.193
7.763,0.53,6.085,0.334,,,,
7.798,0.517,6.225,0.341,,,,
7.833,0.512,6.319,0.336,,,,
7.903,0.514,6.4,0.326,,,,
7.973,0.51,6.529,0.336,,,,
7.996,0.501,6.622,0.329,,,,
8.101,0.483,6.868,0.337,,,,
8.16,0.476,7.02,0.331,,,,
8.16,0.467,7.113,0.33,,,,
8.253,0.451,7.218,0.325,,,,
8.405,0.423,7.289,0.322,,,,
8.487,0.4,7.359,0.32,,,,
8.534,0.377,7.405,0.315,,,,
8.593,0.345,7.452,0.309,,,,
8.652,0.316,7.487,0.303,,,,
8.699,0.297,7.592,0.299,,,,
8.734,0.283,7.662,0.299,,,,
8.817,0.221,7.744,0.291,,,,
8.865,0.187,7.803,0.299,,,,
8.889,0.158,7.849,0.302,,,,
8.937,0.102,7.919,0.299,,,,
8.973,0.063,7.966,0.308,,,,
9.009,0.015,8.048,0.305,,,,
9.033,-0.007,8.153,0.308,,,,
9.057,-0.042,8.282,0.307,,,,
9.093,-0.074,8.41,0.296,,,,
9.094,-0.106,8.48,0.304,,,,
9.13,-0.133,8.515,0.31,,,,
9.142,-0.156,8.632,0.312,,,,
9.177,-0.177,8.738,0.311,,,,
9.178,-0.195,8.819,0.306,,,,
9.213,-0.213,8.913,0.306,,,,
9.248,-0.22,8.96,0.313,,,,
9.295,-0.22,9.065,0.308,,,,
9.329,-0.211,9.1,0.299,,,,
9.364,-0.197,9.111,0.294,,,,
9.363,-0.175,9.111,0.288,,,,
9.397,-0.159,9.146,0.28,,,,
9.408,-0.131,9.181,0.267,,,,
9.419,-0.106,9.228,0.256,,,,
9.442,-0.087,9.263,0.246,,,,
9.453,-0.067,9.298,0.236,,,,
9.452,-0.046,9.31,0.224,,,,
9.486,-0.024,9.333,0.212,,,,
9.532,0.002,9.38,0.197,,,,
,,9.368,0.187,,,,
,,9.38,0.181,,,,
,,9.415,0.164,,,,
,,9.415,0.143,,,,
,,9.45,0.124,,,,
,,9.438,0.108,,,,
,,9.461,0.093,,,,
,,9.473,0.075,,,,
,,9.473,0.053,,,,
,,9.473,0.039,,,,
,,9.508,0.022,,,,
,,9.496,0.01,,,,
,,9.531,0.001,,,,
